iter	Passed	Remaining
0	1	148
1	2	133
2	3	126
3	4	116
4	6	114
5	7	112
6	8	111
7	9	114
8	11	114
9	12	112
10	13	111
11	14	109
12	16	107
13	17	105
14	18	104
15	19	102
16	20	101
17	21	100
18	23	98
19	24	99
20	26	98
21	27	97
22	28	95
23	29	94
24	30	92
25	32	91
26	33	89
27	34	88
28	35	87
29	36	85
30	38	84
31	39	84
32	41	83
33	42	82
34	43	81
35	44	79
36	46	78
37	47	77
38	48	75
39	49	74
40	50	73
41	51	70
42	52	69
43	54	69
44	55	68
45	56	66
46	57	65
47	59	64
48	60	62
49	61	61
50	63	60
51	64	59
52	65	58
53	66	56
54	67	55
55	69	54
56	70	53
57	71	51
58	72	50
59	74	49
60	75	48
61	76	47
62	77	45
63	79	44
64	80	43
65	81	42
66	83	41
67	85	40
68	86	38
69	87	37
70	88	36
71	89	34
72	90	33
73	92	32
74	93	31
75	94	29
76	95	28
77	97	27
78	98	26
79	99	24
80	100	23
81	102	22
82	103	21
83	104	19
84	105	18
85	106	17
86	108	16
87	109	14
88	110	13
89	111	12
90	113	11
91	114	9
92	115	8
93	116	7
94	118	6
95	119	4
96	120	3
97	121	2
98	123	1
99	124	0
