iter	Passed	Remaining
0	173	173423
1	179	89322
2	185	61688
3	197	49169
4	201	40047
5	215	35726
6	225	31950
7	230	28567
8	239	26378
9	242	23971
10	251	22620
11	254	20953
12	256	19453
13	257	18141
14	261	17168
15	268	16503
16	269	15604
17	271	14797
18	272	14092
19	274	13470
20	281	13146
21	283	12611
22	285	12121
23	286	11661
24	288	11258
25	296	11114
26	298	10747
27	299	10406
28	301	10088
29	302	9782
30	303	9493
31	305	9250
32	307	9023
33	310	8808
34	311	8586
35	312	8374
36	314	8180
37	320	8118
38	323	7964
39	324	7790
40	325	7624
41	327	7471
42	329	7331
43	335	7279
44	337	7158
45	338	7022
46	340	6898
47	341	6772
48	342	6650
49	343	6533
50	349	6500
51	352	6422
52	353	6319
53	354	6218
54	356	6130
55	358	6035
56	359	5942
57	365	5940
58	367	5861
59	368	5779
60	370	5697
61	371	5620
62	372	5546
63	383	5601
64	384	5531
65	385	5462
66	388	5411
67	398	5459
68	401	5412
69	403	5356
70	404	5295
71	408	5262
72	409	5205
73	411	5154
74	413	5101
75	415	5047
76	416	4990
77	417	4937
78	419	4895
79	422	4853
80	424	4810
81	425	4768
82	426	4713
83	430	4697
84	433	4666
85	439	4670
86	442	4639
87	443	4600
88	445	4562
89	448	4529
90	455	4548
91	457	4512
92	458	4473
93	459	4433
94	461	4397
95	470	4427
96	473	4409
97	475	4374
98	476	4339
99	486	4375
100	487	4340
101	489	4306
102	490	4272
103	492	4239
104	494	4213
105	497	4195
106	500	4173
107	501	4142
108	503	4113
109	504	4084
110	506	4055
111	509	4040
112	512	4025
113	514	4001
114	516	3973
115	518	3949
116	519	3920
117	520	3893
118	522	3869
119	529	3882
120	532	3869
121	534	3846
122	537	3835
123	546	3860
124	547	3835
125	549	3811
126	550	3785
127	552	3764
128	554	3746
129	556	3723
130	564	3744
131	565	3721
132	567	3698
133	568	3676
134	580	3722
135	582	3702
136	584	3679
137	593	3708
138	595	3689
139	597	3667
140	598	3645
141	599	3620
142	609	3654
143	611	3633
144	612	3612
145	613	3590
146	615	3570
147	617	3554
148	618	3534
149	620	3516
150	621	3496
151	623	3476
152	624	3456
153	625	3436
154	626	3416
155	627	3397
156	629	3378
157	631	3365
158	632	3347
159	634	3329
160	635	3309
161	636	3291
162	637	3273
163	638	3255
164	639	3237
165	640	3220
166	642	3203
167	643	3187
168	645	3172
169	646	3157
170	647	3141
171	649	3125
172	650	3108
173	651	3092
174	652	3077
175	653	3061
176	655	3046
177	656	3031
178	657	3015
179	658	3001
180	660	2988
181	661	2974
182	663	2960
183	664	2945
184	665	2931
185	666	2916
186	667	2902
187	668	2889
188	670	2875
189	671	2862
190	672	2848
191	673	2836
192	675	2824
193	679	2823
194	681	2813
195	683	2802
196	684	2789
197	685	2777
198	687	2767
199	688	2755
200	694	2761
201	697	2754
202	698	2742
203	699	2731
204	701	2719
205	703	2710
206	705	2700
207	708	2698
208	710	2689
209	712	2678
210	713	2669
211	716	2662
212	724	2675
213	725	2664
214	727	2655
215	729	2646
216	731	2640
217	734	2635
218	736	2625
219	737	2614
220	738	2604
221	740	2595
222	743	2588
223	746	2585
224	747	2575
225	749	2565
226	750	2556
227	752	2547
228	758	2553
229	761	2548
230	762	2538
231	763	2528
232	765	2518
233	766	2510
234	774	2520
235	776	2513
236	777	2504
237	779	2494
238	780	2486
239	782	2477
240	789	2486
241	791	2480
242	793	2471
243	795	2463
244	810	2496
245	812	2488
246	821	2504
247	825	2501
248	826	2493
249	837	2512
250	840	2506
251	841	2498
252	843	2490
253	852	2504
254	854	2497
255	856	2488
256	858	2481
257	859	2472
258	868	2485
259	870	2478
260	872	2471
261	874	2462
262	884	2477
263	886	2470
264	888	2464
265	890	2457
266	901	2474
267	903	2467
268	905	2459
269	907	2452
270	913	2457
271	916	2452
272	917	2444
273	928	2461
274	930	2452
275	931	2444
276	933	2437
277	947	2460
278	949	2454
279	959	2467
280	961	2460
281	963	2453
282	965	2445
283	973	2454
284	975	2448
285	978	2441
286	979	2433
287	981	2426
288	984	2422
289	997	2441
290	1001	2439
291	1002	2431
292	1016	2451
293	1030	2473
294	1034	2471
295	1036	2464
296	1050	2486
297	1052	2479
298	1065	2497
299	1067	2490
300	1115	2589
301	1117	2582
302	1161	2671
303	1176	2693
304	1193	2719
305	1242	2818
306	1277	2884
307	1375	3090
308	1379	3084
309	1388	3090
310	1497	3318
311	1501	3310
312	1534	3369
313	1548	3383
314	1615	3514
315	1685	3648
316	1692	3646
317	1698	3643
318	1702	3633
319	1713	3640
320	1717	3632
321	1733	3649
322	1735	3636
323	1746	3644
324	1749	3633
